Year,Dollars2023
1972,6.787381707
1973,6.564198943
1974,6.038821475
1975,5.377401135
1976,5.030309762
1977,4.79533819
1978,4.494225108
1979,4.123142301
1980,3.639137071
1981,3.234788507
1982,2.970421035
1983,2.861677298
1984,2.756914545
1985,2.653430746
1986,2.556291663
1987,2.5284784
1988,2.421914177
1989,2.319841165
1990,2.217821382
1991,2.09031233
1992,2.027461037
1993,1.970321708
1994,1.918521624
1995,1.868083373
1996,1.822520364
1997,1.764298513
1998,1.734806797
1999,1.707487005
2000,1.662596889
2001,1.607927359
2002,1.582605668
2003,1.545513348
2004,1.516696122
2005,1.468244068
2006,1.419965249
2007,1.38533195
2008,1.330770365
2009,1.329440924
2010,1.294489702
2011,1.275359313
2012,1.238212925
2013,1.217515167
2014,1.199522332
2015,1.190002314
2016,1.181730202
2017,1.157424292
2018,1.133618308
2019,1.112481166
2020,1.08746937
2021,1.072455
2022,1.065
2023,1
