Year,Max,Average
1937,120,23.16
1938,120,21.28
1939,120,22.48
1940,120,24.04
1941,120,29.36
1942,120,37.6
1943,120,45.68
1944,120,49.04
1945,120,50.24
1946,120,51.64
1947,120,53.96
1948,120,58.24
1949,120,56.6
1950,180,92.46
1951,216,102.78
1952,216,108
1953,216,112.5
1954,288,148.88
1955,336,156.88
1956,336,165.44
1957,378,193.41
1958,378,195.84
1959,480,227.4
1960,576,280.2
1961,576,287.76
1962,600,314.125
1963,696,377.435
1964,696,399.04
1965,696,425.72
1966,1016.4,485.87
1967,1029.6,522.6
1968,1185.6,553.432
1969,1310.4,663.264
1970,1310.4,708.624
1971,1435.2,826.344
1972,1656,897.92
1973,2095.2,1044.302
1974,2613.6,1158.696
1975,2791.8,1255.32
1976,3029.4,1364.22
1977,3267,1491.336
1978,3575.4,1690.942
1979,4653.28,1880.0064
1980,5262.88,2074.0624
1981,6355.8,2422.052
1982,6998.4,2594.592
1983,7711.2,2748.384
1984,8618.4,3171.936
1985,9028.8,3367.788
1986,9576,3534.684
1987,9986.4,3705.456
1988,10908,4233.516
1989,11635.2,4527.7896
1990,12722.4,4870.472
1991,13243.2,4978.848
1992,13764,5229.328
1993,14284.8,5386.064
1994,15028.8,5592.4
1995,15177.6,5845.36
1996,15549.6,6129.568
1997,16219.2,6427.168
1998,16963.2,6814.792
1999,18004.8,7083.872
2000,18897.6,7571.192
2001,19939.2,7819.44
2002,21055.2,7880.448
2003,21576,8091
2004,21799.2,8469.944
2005,22320,8836.24
2006,23361.6,9379.856
2007,24180,9808.4
2008,25296,10118.648
2009,26486.4,9739.208
2010,26486.4,10050.448
2011,26486.4,10569.512
2012,27304.8,10967.056
2013,28197.6,11003.016
2014,29016,11471.984
2015,29388,11913.424
2016,29388,12138.112
2017,31545.6,12642.544
2018,31843.2,13220.88
2019,32959.2,13773.672
2020,34149.6,14671.432
2021,35414.4,15973.68
2022,36456,16238.048
2023,39729.6,16998.416
