Index,Year,Inflation,SSMin,SS10%,SSMedian,SS90%,SSMax,ThreeMoTBill,TenYrTreas,RetirementAge,MaxTaxBracket,Bend1,Bend2,BendF1,BendF2,BendF3,AvgPayout,MaxPayout,AvgPayIn,MaxPayIn
1,1937,0.971,0,27.84924,57.36264,92.15076,120,1.002418,1.0268,66,6000,0,0,0,0,0,0,0,23.16,120
2,1938,1.028,0,27.84924,57.36264,92.15076,120,1.000615,1.0256,66,6000,0,0,0,0,0,0,0,21.28,120
3,1939,1,0,27.84924,57.36264,92.15076,120,1.000407,1.0236,66,6000,0,0,0,0,0,0,0,22.48,120
4,1940,0.993,0,27.84924,57.36264,92.15076,120,1.000292,1.0221,66,6000,0,0,0,0,0,0,0,24.04,120
5,1941,0.901,0,27.84924,57.36264,92.15076,120,1.001035,1.0195,66,6000,0,0,0,0,0,0,0,29.36,120
6,1942,0.91,0,27.84924,57.36264,92.15076,120,1.00338,1.0246,66,6000,0,0,0,0,0,0,0,37.6,120
7,1943,0.97,0,27.84924,57.36264,92.15076,120,1.0038,1.0247,66,6000,0,0,0,0,0,0,0,45.68,120
8,1944,0.977,0,27.84924,57.36264,92.15076,120,1.0038,1.0248,66,6000,0,0,0,0,0,0,0,49.04,120
9,1945,0.978,0,27.84924,57.36264,92.15076,120,1.0038,1.0237,66,6000,0,0,0,0,0,0,0,50.24,120
10,1946,0.819,0,27.84924,57.36264,92.15076,120,1.0038,1.0219,66,6000,0,0,0,0,0,0,0,51.64,120
11,1947,0.912,0,27.84924,57.36264,92.15076,120,1.005567,1.0225,66,6000,0,0,0,0,0,0,0,53.96,120
12,1948,0.97,0,27.84924,57.36264,92.15076,120,1.010431,1.0244,66,6000,0,0,0,0,0,0,0,58.24,120
13,1949,1.021,0,27.84924,57.36264,92.15076,120,1.011135,1.0231,66,6000,0,0,0,0,0,0,0,56.6,120
14,1950,0.941,0,41.77386,86.04396,138.22614,180,1.011998,1.0232,66,6000,0,0,0,0,0,0,0,92.46,180
15,1951,0.94,0,50.128632,103.252752,165.871368,216,1.015134,1.0257,66,7200,0,0,0,0,0,0,0,102.78,216
16,1952,0.992,0,50.128632,103.252752,165.871368,216,1.017162,1.0268,66,7200,0,0,0,0,0,0,0,108,216
17,1953,0.993,0,50.128632,103.252752,165.871368,216,1.018705,1.0283,66,7200,0,0,0,0,0,0,0,112.5,216
18,1954,1.007,0,66.838176,137.670336,221.161824,288,1.009245,1.0248,66,7200,0,0,0,0,0,0,0,148.88,288
19,1955,0.996,0,77.977872,160.615392,258.022128,336,1.016711,1.0261,66.17,8400,0,0,0,0,0,0,0,156.88,336
20,1956,0.97,0,77.977872,160.615392,258.022128,336,1.026122,1.029,66.33,8400,0,0,0,0,0,0,0,165.44,336
21,1957,0.971,0,87.725106,180.692316,290.274894,378,1.032201,1.0346,66.5,8400,0,0,0,0,0,0,0,193.41,378
22,1958,0.982,0,87.725106,180.692316,290.274894,378,1.016096,1.0309,66.67,8400,0,0,0,0,0,0,0,195.84,378
23,1959,0.983,0,111.39696,229.45056,368.60304,480,1.033347,1.0402,66.83,9600,0,0,0,0,0,0,0,227.4,480
